Cycle,Odd-Even,Variable,Mean,Median,Std,Min,Max,Shannon Entropy,Sample Entropy,Permutation Entropy,Spectral Entropy,Approximate Entropy,Higuchi Fractal Dimension,Katz Fractal Dimension,Petrosian Fractal Dimension,Lempel-Ziv complexity,Hurts exponent
24u,Even,Flow pressure,1.5383316221765915,1.335,0.870314655911196,0.15,7.48,2.9593913458929535,1.6289268741361418,0.9839368064110854,0.956401844391619,1.6195053082719744,1.946904484837657,3.2460721383744318,1.0270914312870971,284,0.5661343048168954
24d,Even,Flow pressure,2.0853893288266536,1.83,1.0801415829082857,0.24,11.09,2.9708432706913372,1.6476899493361283,0.9775090546281193,0.9462282646460586,1.6749276847989671,1.9226313913122435,3.068413910910218,1.026102268336224,332,0.537680854984512
25u,odd,Flow pressure,1.858019750990379,1.58,1.1867932828070382,0.12,21.23,2.9615734787959735,1.4626644676576928,0.984586770678796,0.9627206402151567,1.5372066348608309,1.9187048980944905,2.356992204171658,1.0276394371423212,270,0.6077750855213588
20u,Even,Kp index,18.026442307692307,17.0,10.348309618085514,0.0,63.0,2.449865575420572,2.0460539038862784,0.9800824642426273,0.9440345602370096,1.6467965454494662,1.8897497327235275,4.197344687347712,1.0292220187231205,382,0.6578167968786534
20d,Even,Kp index,22.997605200136846,23.0,11.510477672447514,0.0,77.0,2.6024395887225014,2.1548231208430932,0.9719319828012736,0.9109441700704096,1.9241059076222582,1.8160210794528846,4.024916976763342,1.0248632835836888,831,0.6524351316574694
21u,odd,Kp index,23.29109341057205,23.0,11.067545597047134,3.0,70.0,2.55240331726589,2.171779417557408,0.9795049559818134,0.9095353550760147,1.6735686082897807,1.838277885814205,4.696288327002446,1.0282253315076828,423,0.7186608086942048
21d,odd,Kp index,25.742661841576197,23.0,11.35114412205083,3.0,77.0,2.596419105708662,2.167154131796859,0.9743220966800413,0.9209463966124487,1.8740965871679567,1.8427997532517761,3.7764139269460038,1.0257966020449445,720,0.7088326565482178
22u,Even,Kp index,23.141843971631207,23.0,11.018469006215867,3.0,80.0,2.529684462689042,2.150833934414078,0.9765608222378624,0.9136765405546451,1.6039719269401793,1.8678886821142913,3.3852602970882915,1.029318482273247,348,0.7612692847884278
22d,Even,Kp index,25.214517437145176,23.0,12.131087924399578,3.0,77.0,2.647239789797501,2.141238697476248,0.9779728671124187,0.8891909804507351,1.8336513012636741,1.7960686575865992,3.9166499243067014,1.0265314739825369,709,0.7402067252076051
23u,odd,Kp index,20.556539864512768,20.0,11.054364083438164,0.0,77.0,2.5396591140261577,2.138875533098079,0.9729343480909997,0.9344891228932408,1.8066660214327976,1.8788874352455007,4.178553130992396,1.0262879110473206,566,0.7189679131829412
23d,odd,Kp index,20.421174652241113,20.0,12.13652716803482,0.0,77.0,2.622179785523187,2.0232539872260404,0.966094560615534,0.890359726597894,1.826676074001547,1.8460733212356712,4.478585912869545,1.024231495123775,738,0.6719469553927557
